,res_code,area,res_name_raw,res_name_edited,sex,individual,group_2,group_3,group_4,group_5,group_6,group_7,group_8,year
0,31,BRN,"Branner Hall, any room","Any,Branner",m,1717,1556,1453,1453,1338,1338,1181,940,2016
1,281,BRN,"Branner Hall, 1 room single occupancy","1 Room Single,Branner",m,199,186,181,181,17,,,,2016
2,282,BRN,"Branner Hall, 1 room double occupancy","1 Room Double,Branner",m,1556,1453,1453,,,,,,2016
3,283,BRN,"Branner Hall, triple occupancy","Triple,Branner",m,1717,1338,1338,,,,,,2016
4,284,BRN,"Branner Hall, 2 room double occupancy","2 Room Double,Branner",m,1181,940,940,902,902,902,902,886,2016
5,309,CRO,"Crothers Hall, any room","Any,Crothers",m,3318,3316,3313,3297,3224,3215,3199,3170,2016
6,319,CRO,"Crothers Hall, 1 room single occupancy","1 Room Single,Crothers",m,1559,1533,1532,1511,1469,1469,1447,1447,2016
7,319,CRO,"Crothers Hall, 1 room single occupancy","1 Room Single,Crothers",m,1465,1444,1393,1393,1374,1374,1374,1374,2016
8,329,CRO,"Crothers Hall, 1 room double occupancy","1 Room Double,Crothers",m,3318,3316,3313,3297,3224,3215,3199,3170,2016
9,,DRW,Accept any housing,,m,3318,,,,,,,,2016
10,60,FM,Any Florence Moore Hall,"Any,FloMo",m,3009,2980,2952,2932,2932,2901,2901,2901,2016
11,397,FM,Any East Florence Moore Hall,"Any,East FloMo",m,3009,2980,2952,2932,2901,2901,2901,2901,2016
12,61,FM,Alondra,"Any,Alondra",m,,,,,,,,,2016
13,62,FM,"Cardenal, any room","Any,Cardenal",m,3009,2980,2952,2932,2901,2901,2893,2893,2016
14,398,FM,"Cardenal, 1 room single occupancy","1 Room Single,Cardenal",m,87,,,,,,,,2016
15,399,FM,"Cardenal, 1 room double occupancy","1 Room Double,Cardenal",m,3009,2980,2952,2932,2901,2901,2893,2893,2016
16,63,FM,"Faisan, any room","Any,Faisan",m,3009,2980,2901,2901,2901,2901,2901,2901,2016
17,401,FM,"Faisan, 1 room single occupancy","1 Room Single,Faisan",m,603,433,401,,,,,,2016
18,402,FM,"Faisan, 1 room double occupancy","1 Room Double,Faisan",m,3009,2980,2901,2901,2901,2901,2901,2901,2016
19,415,FM,Any West Florence Moore Hall,"Any,West FloMo",m,2932,2932,2871,2870,2870,2867,2795,2795,2016
20,65,FM,"Loro, any room","Any,Loro",m,2932,2932,2871,2795,2795,2708,2708,2708,2016
21,405,FM,"Loro, 1 room single occupancy","1 Room Single,Loro",m,,,,,,,,,2016
22,406,FM,"Loro, 1 room double occupancy","1 Room Double,Loro",m,2932,2932,2871,2795,2795,2708,2708,2708,2016
23,66,FM,"Mirlo, any room","Any,Mirlo",m,2867,2751,2751,2703,2703,2693,2671,2671,2016
24,407,FM,"Mirlo, 1 room single occupancy","1 Room Single,Mirlo",m,917,,,,,,,,2016
25,408,FM,"Mirlo, 1 room double occupancy","1 Room Double,Mirlo",m,2867,2751,2751,2703,2703,2693,2671,2671,2016
26,67,FM,"Paloma, any room","Any,Paloma",m,2932,2932,2871,2702,2702,2702,2702,2702,2016
27,409,FM,"Paloma, 1 room single occupancy","1 Room Single,Paloma",m,865,,,,,,,,2016
28,410,FM,"Paloma, 1 room double occupancy","1 Room Double,Paloma",m,2932,2932,2871,2702,2702,2702,2702,2702,2016
29,64,FM,"Gavilan, any room","Any,Gavilan",m,3318,3316,3313,3079,2247,2247,1827,1827,2016
30,403,FM,"Gavilan, 1 room single occupancy","1 Room Single,Gavilan",m,581,581,,,,,,,2016
31,404,FM,"Gavilan, 1 room double occupancy","1 Room Double,Gavilan",m,3318,3316,3313,3079,2247,2247,1827,1827,2016
32,450,GC,Any Governor's Corner,"Any,Gov Co",m,3318,3316,3313,3297,3224,3215,3199,3122,2016
33,81,GC,"EAST, any room","Any,EAST FloMo",m,2540,2442,2300,2218,2218,1989,1989,1989,2016
34,441,GC,"EAST, 1 room single occupancy","1 Room Single,EAST",m,428,,,,,,,,2016
35,442,GC,"EAST, 1 room double occupancy","1 Room Double,EAST",m,2540,2442,2300,2218,2218,1989,1989,1989,2016
36,443,GC,"EAST, triple occupancy","Triple,EAST",m,,,,,,,,,2016
37,444,GC,"EAST, 2 room double occupancy","2 Room Double,EAST",m,1753,1753,1725,1537,792,,,,2016
38,82,GC,"Murray, any room","Any,Murray",m,2785,2785,2776,2776,2587,2344,2322,2322,2016
39,451,GC,"Murray, 1 room single occupancy","1 Room Single,Murray",m,640,,,,,,,,2016
40,452,GC,"Murray, 1 room double occupancy","1 Room Double,Murray",m,2785,2785,2776,2776,2587,2344,2322,2322,2016
41,454,GC,"Murray, 2 room double occupancy","2 Room Double,Murray",m,1661,1651,1651,1651,1651,1489,1489,1489,2016
42,83,GC,"Yost, any room","Any,Yost",m,2803,2778,2778,2778,2778,2757,2749,2749,2016
43,461,GC,"Yost, 1 room single occupancy","1 Room Single,Yost",m,784,555,555,511,89,,,,2016
44,462,GC,"Yost, 1 room double occupancy","1 Room Double,Yost",m,2803,2778,2778,2778,2778,2757,2749,2749,2016
45,464,GC,"Yost, 2 room double occupancy","2 Room Double,Yost",m,1848,1742,1112,1112,1009,,,,2016
46,87,GC,"Suites, any room","Any,Suites",m,209,1543,1543,1543,1464,1464,1464,1464,2016
47,84,GC,"Suites, 4 person","4-room,Suites",m,1083,1083,50,50,50,50,,,2016
48,86,GC,"Suites, 6 person","6-room,Suites",m,209,1543,1543,1543,1464,1464,1464,1464,2016
49,90,GC,Any Sterling Quadrangle,"Any,SterQuad",m,3318,3316,3313,3297,3224,3215,3199,3122,2016
50,92,GC,"Potter, any room","Any,Potter",m,3318,3316,3313,3297,3224,3215,3199,3122,2016
51,471,GC,"Potter, 1 room single occupancy","1 Room Single,Potter",m,1635,1635,1216,460,,,,,2016
52,472,GC,"Potter, 1 room double occupancy","1 Room Double,Potter",m,3318,3316,3313,3297,3224,3215,3199,2817,2016
53,473,GC,"Potter, triple occupancy","Triple,Potter",m,3318,3316,2803,,,,,,2016
54,474,GC,"Potter, 2 room double occupancy","2 Room Double,Potter",m,1995,1982,1949,1937,1936,1872,1872,1868,2016
55,93,GC,"Robinson, any room","Any,Robinson",m,2666,2666,2666,2106,2106,2078,2074,2074,2016
56,481,GC,"Robinson, 1 room single occupancy","1 Room Single,Robinson",m,1635,1635,934,132,,,,,2016
57,482,GC,"Robinson, 1 room double occupancy","1 Room Double,Robinson",m,2666,2666,2666,,,,,,2016
58,484,GC,"Robinson, 2 room double occupancy","2 Room Double, Robinson",m,2106,2106,2078,2074,2074,2071,2071,2016,2016
59,95,GC,Freshman-Sophomore College,"Any,FroSoCo",m,3316,3316,3313,3297,3224,2990,2990,2727,2016
60,85,GC,"Suites, Jenkins",,m,420,415,400,400,400,400,329,102,2016
61,50,LAG,Any Lagunita Court (except Ujamaa),"Any,Lagunita",m,2463,2372,2256,2256,2256,2149,2145,2145,2016
62,51,LAG,"Adelfa, any room","Any,Adelfa",m,2256,2256,2256,2149,1414,1335,1335,1245,2016
63,433,LAG,"Adelfa, 1 room single occupancy","1 Room Single,Adelfa",m,1414,1335,1335,1245,1207,1201,579,516,2016
64,434,LAG,"Adelfa, 1 room double occupancy","1 Room Double,Adelfa",m,2256,2256,2256,2149,,,,,2016
65,52,LAG,"Eucalipto, any room","Any,Eucalipto",m,1427,1417,1336,1031,1000,962,818,368,2016
66,54,LAG,"Eucalipto, 1 room double occupancy","1 Room Double,Eucalipto",m,,,,,,,,,2016
67,438,LAG,"Eucalipto, 1 room single occupancy","1 Room Single,Eucalipto",m,1427,1417,1336,1031,1000,962,818,368,2016
68,439,LAG,"Eucalipto, triple occupancy","Triple,Eucalipto",m,,,,,,,,,2016
69,53,LAG,"Granada, any room","Any,Granada",m,2463,2372,1661,1439,1358,1024,1024,971,2016
70,436,LAG,"Granada, 1 room single occupancy","1 Room Single,Granada",m,1661,1439,1358,1024,1024,971,,,2016
71,437,LAG,"Granada, 1 room double occupancy","1 Room Double,Granada",m,2463,2372,,,,,,,2016
72,55,LAG,"Naranja, any room","Any,Naranja",m,2463,2145,2145,1310,841,809,795,795,2016
73,431,LAG,"Naranja, 1 room single occupancy","1 Room Single,Naranja",m,841,809,795,795,658,635,539,507,2016
74,432,LAG,"Naranja, 1 room double occupancy","1 Room Double,Naranja",m,2463,2145,2145,1310,,,,,2016
75,491,LAG,"Meier Hall, 1 room single occupancy","1 Room Single,Meier",m,58,,,,,,,,2016
76,493,LAG,"Meier Hall, 2 room double occupancy","2 Room Double,Meier",m,1260,1131,1131,1029,1019,1019,787,787,2016
77,496,LAG,"Norcliffe Hall, 1 room single occupancy","1 Room Single,Norcliffe",m,346,275,222,195,195,163,129,129,2016
78,498,LAG,"Norcliffe Hall, 2 room double occupancy","2 Room Double,Norcliffe",m,1190,1001,952,939,939,914,572,572,2016
79,,LAG,"Meier Hall, any room","Any,Meier",m,,,,,,,,,2016
80,492,LAG,"Meier Hall, 1 room double occupancy","1 Room Double,Meier",m,,,,,,,,,2016
81,,LAG,"Norcliffe Hall, any room","Any,Norcliffe",m,,,,,,,,,2016
82,497,LAG,"Norcliffe Hall, 1 room double occupancy","1 Room Double,Norcliffe",m,,,,,,,,,2016
83,57,LAG,Ujamaa,"Any,Ujamaa",m,480,360,235,,,,,,2016
84,57,LAG,Ujamaa,"Any,Ujamaa",m,505,455,287,,,,,,2016
85,57,LAG,"Ujamaa, 1 room double occupancy","1 Room Double,Ujamaa",m,,,,,,,,,2016
86,57,LAG,"Ujamaa, 1 room double occupancy","1 Room Double,Ujamaa",m,,,,,,,,,2016
87,200,MAN,Any Manzanita Park (except Humanities Theme Residence),,m,2688,2491,2419,2321,2321,2288,2196,2136,2016
88,201,MAN,"Kimball Hall, any room","Any,Kimball",m,2491,2288,2196,1910,1834,1816,1816,1801,2016
89,261,MAN,"Kimball Hall, 1 room single occupancy","1 Room Single,Kimball",m,762,685,683,533,369,369,369,,2016
90,262,MAN,"Kimball Hall, 1 room double occupancy","1 Room Double,Kimball",m,2196,1910,1834,1816,1816,1785,1768,1768,2016
91,263,MAN,"Kimball Hall, triple occupancy","Triple,Kimball",m,,,,,,,,,2016
92,264,MAN,"Kimball Hall, 2 room double occupancy","2 Room Double,Kimball",m,1352,1352,1352,1352,1352,1352,1348,1348,2016
93,265,MAN,"Kimball Hall, quadruple occupancy","Quad,Kimball",m,2491,2288,1801,1767,1508,1508,1508,1508,2016
94,202,MAN,"Lantana, any room","Any,Lantana",m,2419,2321,2321,1864,1864,1864,1850,1850,2016
95,211,MAN,"Lantana, 1 room single occupancy","1 Room Single,Lantana",m,443,443,443,443,443,,,,2016
96,212,MAN,"Lantana, 1 room double occupancy","1 Room Double,Lantana",m,2419,2321,2321,1850,1850,1836,1836,1836,2016
97,213,MAN,"Lantana, triple occupancy","Triple,Lantana",m,1864,1864,1864,,,,,,2016
98,214,MAN,"Lantana, 2 room double occupancy","2 Room Double,Lantana",m,1601,1601,1593,1441,1441,1434,1434,1434,2016
99,203,MAN,"Castaño, any room","Any,Castano",m,2688,2136,2011,1752,1752,1752,1747,1747,2016
100,251,MAN,"Castaño, 1 room single occupancy","1 Room Single,Castano",m,1298,898,897,670,501,118,22,,2016
101,252,MAN,"Castaño, 1 room double occupancy","1 Room Double,Castano",m,1752,1752,1752,1747,1747,1747,1747,1747,2016
102,253,MAN,"Castaño, triple occupancy room","Triple,Castano",m,2688,2136,2011,1569,1569,1569,,,2016
103,254,MAN,"Castaño, 2 room double occupancy","2 Room Double,Castano",m,1526,1526,1526,1526,1490,1490,1490,1486,2016
104,255,MAN,Humanities Theme Residence,"Any,Humanities House",m,1033,1033,1033,1001,987,987,963,933,2016
105,19,MIR,"Mirrielees, any apartment","Any,Mirrielees",m,187,33,,,,,,,2016
106,102,MIR,"Mirrielees, 2 BR double occupancy apartment","Double,Mirrielees",m,187,33,,,,,,,2016
107,103,MIR,"Mirrielees, 3 BR triple occupancy apartment","Triple,Mirrielees",m,,,,,,,,,2016
108,350,MIR,"Mirrielees, substance-free housing option","Substance Free Housing,Mirrielees",m,602,384,384,,,,,,2016
109,32,ROB,"Roble Hall, any room","Any,Roble",m,2310,2310,2127,2127,2127,2127,2127,2127,2016
110,411,ROB,"Roble Hall, 1 room single occupancy","1 Room Single,Roble",m,1663,1663,1644,1613,1584,1584,1575,1545,2016
111,412,ROB,"Roble Hall, 1 room double occupancy","1 Room Double,Roble",m,2310,2310,2127,2127,2127,2127,2127,2127,2016
112,413,ROB,"Roble Hall, triple occupancy","Triple,Roble",m,1412,1412,1412,,,,,,2016
113,414,ROB,"Roble Hall, 2 room double occupancy","2 Room Double,Roble",m,,,,,,,,,2016
