,res_code,area,res_name_raw,res_name_edited,sex,individual,group_2,group_3,group_4,group_5,group_6,group_7,group_8,year
114,978,ROW,Muwekma-Tah-Ruk,"Any,Muwekma",m,380,48,48,,,,,,2016
115,978,ROW,Muwekma-Tah-Ruk,"Any,Muwekma",m,851,331,,,,,,,2016
116,920,ROW,Any Self-Operated House,"Any,Self Op",m,1176,1159,1159,1140,1122,1037,1037,1037,2016
117,907,ROW,Any Self-Operated Lower Row House,"Any,Lower Row Self Op",m,758,758,713,693,693,654,654,636,2016
118,,ROW,"1047 Campus, any room","Any,1047 Campus",m,758,426,426,407,371,371,371,365,2016
119,,ROW,"1047 Campus, premier room","Premium,1047 Campus",m,407,371,371,371,365,365,333,323,2016
120,,ROW,"1047 Campus, standard room","Standard,1047 Campus",m,758,426,426,,,,,,2016
121,922,ROW,"680 Lomita, any room","Any,680 Lomita",m,758,465,403,403,335,335,271,271,2016
122,908,ROW,"680 Lomita, premier room","Premium,680 Lomita",m,403,403,335,335,271,271,271,271,2016
123,909,ROW,"680 Lomita, standard room","Standard,680 Lomita",m,758,465,,,,,,,2016
124,930,ROW,"Xanadu, any room","Any,Xanadu",m,634,569,538,538,538,538,496,496,2016
125,998,ROW,"Xanadu, premier room","Premium,Xanadu",m,171,171,138,138,124,116,114,114,2016
126,999,ROW,"Xanadu, standard room","Standard,Xanadu",m,634,569,538,538,538,538,496,496,2016
127,965,ROW,"La Casa Italiana (Italian Language & Culture theme house), any room","Any,La Casa Italiana",m,434,289,244,244,172,27,10,10,2016
128,939,ROW,"La Casa Italiana (Italian Language & Culture theme house), premier room","Premium,La Casa Italiana",m,27,10,10,8,8,,,,2016
129,940,ROW,"La Casa Italiana (Italian Language & Culture theme house), standard room","Standard,La Casa Italiana",m,434,289,244,244,172,,,,2016
130,986,ROW,"BOB, any room","Any,BOB",m,431,431,431,431,425,425,421,320,2016
131,912,ROW,"BOB, premier room","Premium,BOB",m,111,72,72,53,53,53,52,52,2016
132,913,ROW,"BOB, standard room","Standard,BOB",m,431,431,431,431,425,425,421,320,2016
133,990,ROW,"Mars, any room","Any,Mars",m,713,693,693,636,614,541,541,541,2016
134,946,ROW,"Mars, premier room","Premium,Mars",m,1,,,,,,,,2016
135,947,ROW,"Mars, standard room","Standard,Mars",m,713,693,693,636,614,541,541,541,2016
136,993,ROW,Storey House (Human Biology theme house),"Any,Storey",m,758,654,654,491,491,424,399,399,2016
137,921,ROW,Any Self-Operated Upper Row House,"Any,Upper Row Self Op",m,1176,1159,1159,1140,1122,992,951,937,2016
138,901,ROW,"Roth, any room","Any,Roth",m,,,,,,,,,2016
139,953,ROW,"Roth, premier room","Premium,Roth",m,,,,,,,,,2016
140,954,ROW,"Roth, standard room","Standard,Roth",m,,,,,,,,,2016
141,955,ROW,"717 Dolores, any room","Any,717 Dolores",m,1176,1159,1159,1140,1122,992,951,937,2016
142,910,ROW,"717 Dolores, premier room","Premium,717 Dolores",m,,,,,,,,,2016
143,911,ROW,"717 Dolores, standard room","Standard,717 Dolores",m,1176,1159,1159,1140,1122,992,951,937,2016
144,964,ROW,"Haus Mitteleuropa (Central European theme house), any room","Any,Haus Mitteleuropa",m,681,681,464,313,313,,,,2016
145,937,ROW,"Haus Mitteleuropa (Central European theme house), premier room","Premium,Haus Mitteleuropa",m,,,,,,,,,2016
146,938,ROW,"Haus Mitteleuropa (Central European theme house), standard room","Standard,Haus Mitteleuropa",m,681,681,464,313,313,,,,2016
147,966,ROW,"La Maison Française (French Language & Culture theme house), any room","Any,French House",m,621,621,589,536,525,521,520,488,2016
148,924,ROW,"La Maison Française (French Language & Culture theme house), premier room","Premium,French House",m,,,,,,,,,2016
149,925,ROW,"La Maison Française (French Language & Culture theme house), standard room","Standard,French House",m,621,621,589,536,525,521,520,488,2016
150,968,ROW,"Phi Sig, any room","Any,Phi Sigma",m,876,876,820,786,786,700,700,700,2016
151,951,ROW,"Phi Sig, premier room","Premium,Phi Sigma",m,125,5,5,,,,,,2016
152,952,ROW,"Phi Sig, standard room","Standard,Phi Sigma",m,876,876,820,786,786,700,700,700,2016
153,970,ROW,"Durand, any room","Any,Durand",m,906,905,892,892,884,884,875,861,2016
154,916,ROW,"Durand, premier room","Premium,Durand",m,,,,,,,,,2016
155,917,ROW,"Durand, standard room","Standard,Durand",m,906,905,892,892,884,884,875,861,2016
156,979,ROW,"Slavianskii Dom (Slavic/East European theme house), any room","Any,Slavianskii Dom",m,712,712,692,692,675,575,575,135,2016
157,956,ROW,"Slavianskii Dom (Slavic/East European theme house), premier room","Premium,Slavianskii Dom",m,46,,,,,,,,2016
158,957,ROW,"Slavianskii Dom (Slavic/East European theme house), standard room","Standard,Slavianskii Dom",m,712,712,692,692,675,575,575,135,2016
159,987,ROW,"Grove, any room","Any,Grove",m,805,802,802,802,802,734,734,720,2016
160,926,ROW,"Grove, premier room","Premium,Grove",m,,,,,,,,,2016
161,927,ROW,"Grove, standard room","Standard,Grove",m,805,802,802,802,802,734,734,720,2016
162,923,ROW,Any Self-Operated Lake House,"Any,Self Op Lake",m,596,596,521,484,484,484,484,479,2016
163,960,ROW,"Narnia, any room","Any,Narnia",m,596,596,521,484,484,484,484,479,2016
164,948,ROW,"Narnia, premier room","Premium,Narnia",m,596,596,521,484,484,484,484,479,2016
165,949,ROW,"Narnia, standard room","Standard,Narnia",m,,,,,,,,,2016
166,,ROW,"Jerry, any room","Any,Jerry",m,264,264,262,262,247,247,231,162,2016
167,941,ROW,"Jerry, premier room","Premium,Jerry",m,264,264,262,262,247,247,231,162,2016
168,,ROW,"Jerry, standard room","Stanard,Jerry",m,,,,,,,,,2016
169,994,ROW,ZAP,"Any,ZAP",m,1037,1037,1037,1037,1037,1037,976,976,2016
170,800,ROW,I will live in my fraternity/sorority house,,m,,,,,,,,,2016
171,976,ROW,Kairos (Cooperative House),"Any,Kairos",m,566,448,393,374,299,276,207,128,2016
172,977,ROW,Terra (Cooperative House),"Any,Terra",m,2374,2362,2341,2332,2311,2263,2125,2072,2016
173,981,ROW,576 Alvarado (Cooperative House),"Any,576 Alvarado",m,174,174,136,136,136,136,18,,2016
174,983,ROW,Columbae (Cooperative House),"Any,Columbae",m,1022,921,919,919,908,899,870,870,2016
175,985,ROW,Enchanted Broccoli Forest (Cooperative House),"Any,EBF",m,808,808,808,761,745,740,630,620,2016
176,996,ROW,Hammarskjöld (Cooperative House),"Any,Hammarskjold",m,242,167,167,64,,,,,2016
177,996,ROW,Hammarskjöld (Cooperative House),"Any,Hammarskjold",m,1033,810,469,319,,,,,2016
178,997,ROW,Synergy (Cooperative House),"Any,Synergy",m,1275,1195,1071,845,624,449,381,372,2016
179,426,STN,Casa Zapata,"Any,Zapata",m,3318,3316,3313,3297,3224,2976,2879,2879,2016
180,426,STN,Casa Zapata,"Any,Zapata",m,room for all,3313,2993,2920,2771,2570,2535,2523,2016
181,420,STN,Burbank,"Any,Burbank",m,,,,,,,,,2016
182,421,STN,Donner,"Any,Donner",m,,,,,,,,,2016
183,422,STN,Twain,"Any,Twain",m,,,,,,,,,2016
184,424,STN,Larkin,"Any,Larkin",m,,,,,,,,,2016
185,427,STN,Serra,"Any,Serra",m,,,,,,,,,2016
186,33,TOY,"Toyon Hall, any room","Any,Toyon",m,1300,1300,1300,1300,1267,1267,1259,1259,2016
187,291,TOY,"Toyon Hall, 1 room single occupancy","1 Room Single,Toyon",m,1112,1105,1047,1047,1010,,,,2016
188,292,TOY,"Toyon Hall, 1 room double occupancy","1 Room Double,Toyon",m,1267,1267,1259,1259,1251,1251,1226,1226,2016
189,293,TOY,"Toyon Hall, triple occupancy","Triple,Toyon",m,1300,1300,1300,1300,1128,1128,1128,1128,2016
190,294,TOY,"Toyon Hall, 2 room double occupancy","2 Room Double,Toyon",m,117,1153,1153,1153,1153,1135,1124,1120,2016
191,295,TOY,"Toyon Hall, quadruple occupancy","Quad,Toyon",m,1063,1063,1063,1063,,,,,2016
192,736,WIL,Okada,"Any,Okada",m,2927,2883,2586,2308,2308,1965,1965,1642,2016
193,736,WIL,Okada,"Any,Okada",m,3215,2956,2911,2586,1921,1921,1831,1809,2016
194,741,WIL,"Trancos, any room","Any,Trancos",m,3318,3316,3313,3297,3224,3215,3199,3170,2016
195,743,WIL,"Trancos, 1 room single occupancy","1 Room Single,Trancos",m,,,,,,,,,2016
196,744,WIL,"Trancos, 1 room double occupancy","1 Room Double,Trancos",m,3318,3316,3313,3297,3224,3215,3199,3170,2016
197,734,WIL,Arroyo,"Any,Arroyo",m,,,,,,,,,2016
198,735,WIL,Cedro,"Any,Cedro",m,,,,,,,,,2016
199,738,WIL,Otero,"Any,Otero",m,,,,,,,,,2016
200,739,WIL,Rinconada,"Any,Rinconada",m,,,,,,,,,2016
201,740,WIL,Soto,"Any,Soto",m,,,,,,,,,2016
202,742,WIL,Junipero,"Any,Junipero",m,,,,,,,,,2016
203,31,BRN,"Branner Hall, any room","Any,Branner",f,1892,1497,1497,1183,732,732,679,679,2016
204,281,BRN,"Branner Hall, 1 room single occupancy","1 Room Single,Branner",f,325,317,317,141,126,82,82,,2016
205,282,BRN,"Branner Hall, 1 room double occupancy","1 Room Double,Branner",f,1183,,,,,,,,2016
206,283,BRN,"Branner Hall, triple occupancy","Triple,Branner",f,1892,1497,1497,,,,,,2016
207,284,BRN,"Branner Hall, 2 room double occupancy","2 Room Double,Branner",f,732,732,679,679,546,546,389,389,2016
208,309,CRO,"Crothers Hall, any room","Any,Crothers",f,2996,2996,2995,2987,2959,2959,2957,2952,2016
209,319,CRO,"Crothers Hall, 1 room single occupancy","1 Room Single,Crothers",f,1465,1444,1393,1393,1374,1374,1374,1374,2016
210,329,CRO,"Crothers Hall, 1 room double occupancy","1 Room Double,Crothers",f,2996,2996,2995,2987,2959,2959,2957,2952,2016
211,,DRW,Accept any housing,,f,3028,,,,,,,,2016
212,60,FM,Any Florence Moore Hall,"Any,FloMo",f,2952,2931,2930,2886,2677,2677,2664,2664,2016
213,397,FM,Any East Florence Moore Hall,"Any,East FloMo",f,2952,2931,2930,2886,2677,2677,2664,2664,2016
214,61,FM,Alondra,"Any,Alondra",f,,,,,,,,,2016
215,62,FM,"Cardenal, any room","Any,Cardenal",f,2952,2931,2930,2886,2677,2664,2664,2467,2016
216,398,FM,"Cardenal, 1 room single occupancy","1 Room Single,Cardenal",f,868,,,,,,,,2016
217,399,FM,"Cardenal, 1 room double occupancy","1 Room Double,Cardenal",f,2952,2931,2930,2886,2677,2664,2664,2467,2016
218,63,FM,"Faisan, any room","Any,Faisan",f,2952,2931,2930,2886,2677,2677,2438,2438,2016
219,401,FM,"Faisan, 1 room single occupancy","1 Room Single,Faisan",f,1519,603,,,,,,,2016
220,402,FM,"Faisan, 1 room double occupancy","1 Room Double,Faisan",f,2952,2931,2930,2886,2677,2677,2438,2438,2016
221,415,FM,Any West Florence Moore Hall,"Any,West FloMo",f,2657,2613,2606,2606,2555,2555,2516,2505,2016
222,65,FM,"Loro, any room","Any,Loro",f,2516,1608,1608,1608,1608,1225,,,2016
223,405,FM,"Loro, 1 room single occupancy","1 Room Single,Loro",f,,,,,,,,,2016
224,406,FM,"Loro, 1 room double occupancy","1 Room Double,Loro",f,2516,1608,1608,1608,1608,1225,,,2016
225,66,FM,"Mirlo, any room","Any,Mirlo",f,1933,1933,1852,1765,1765,1765,1765,1697,2016
226,407,FM,"Mirlo, 1 room single occupancy","1 Room Single,Mirlo",f,1238,,,,,,,,2016
227,408,FM,"Mirlo, 1 room double occupancy","1 Room Double,Mirlo",f,1933,1933,1852,1765,1765,1765,1765,1697,2016
228,67,FM,"Paloma, any room","Any,Paloma",f,2657,2613,2606,2606,2555,2555,2505,2505,2016
229,409,FM,"Paloma, 1 room single occupancy","1 Room Single,Paloma",f,1640,1306,,,,,,,2016
230,410,FM,"Paloma, 1 room double occupancy","1 Room Double,Paloma",f,2657,2613,2606,2606,2555,2555,2505,2505,2016
231,64,FM,"Gavilan, any room","Any,Gavilan",f,2914,2019,2019,1969,,,,,2016
232,403,FM,"Gavilan, 1 room single occupancy","1 Room Single,Gavilan",f,,,,,,,,,2016
233,404,FM,"Gavilan, 1 room double occupancy","1 Room Double,Gavilan",f,2914,2019,2019,1969,,,,,2016
234,450,GC,Any Governor's Corner,"Any,Gov Co",f,2850,2824,2824,2824,2738,2738,2735,2735,2016
235,81,GC,"EAST, any room","Any,EAST FloMo",f,2738,2738,2735,2735,2627,2627,2098,1940,2016
236,441,GC,"EAST, 1 room single occupancy","1 Room Single,EAST",f,483,,,,,,,,2016
237,442,GC,"EAST, 1 room double occupancy","1 Room Double,EAST",f,2738,2627,2627,2098,1940,1940,1940,1940,2016
238,443,GC,"EAST, triple occupancy","Triple,EAST",f,2738,2735,2735,,,,,,2016
239,444,GC,"EAST, 2 room double occupancy","2 Room Double,EAST",f,792,90,90,,,,,,2016
240,82,GC,"Murray, any room","Any,Murray",f,2704,2633,2590,2590,2590,2590,2496,2496,2016
241,451,GC,"Murray, 1 room single occupancy","1 Room Single,Murray",f,639,,,,,,,,2016
242,452,GC,"Murray, 1 room double occupancy","1 Room Double,Murray",f,2704,2633,2590,2590,2590,2590,2496,2496,2016
243,454,GC,"Murray, 2 room double occupancy","2 Room Double,Murray",f,1654,1384,1384,869,869,850,311,311,2016
244,83,GC,"Yost, any room","Any,Yost",f,2651,2270,1944,1944,1944,1825,1825,1748,2016
245,461,GC,"Yost, 1 room single occupancy","1 Room Single,Yost",f,456,,,,,,,,2016
246,462,GC,"Yost, 1 room double occupancy","1 Room Double,Yost",f,2651,2270,1944,1944,1944,1825,1825,1748,2016
247,464,GC,"Yost, 2 room double occupancy","2 Room Double,Yost",f,,,,,,,,,2016
248,87,GC,"Suites, any room","Any,Suites",f,502,502,228,1885,1885,1885,1885,1885,2016
249,84,GC,"Suites, 4 person","4-room,Suites",f,502,1083,1083,473,473,473,473,,2016
250,86,GC,"Suites, 6 person","6-room,Suites",f,502,502,1885,1885,1885,1885,1885,1885,2016
251,90,GC,Any Sterling Quadrangle,"Any,SterQuad",f,2850,2824,2824,2824,2738,2738,2730,2666,2016
252,92,GC,"Potter, any room","Any,Potter",f,2648,2648,2648,2648,1894,1879,1879,1879,2016
253,471,GC,"Potter, 1 room single occupancy","1 Room Single,Potter",f,599,263,,,,,,,2016
254,472,GC,"Potter, 1 room double occupancy","1 Room Double,Potter",f,2648,2648,2648,2648,,,,,2016
255,473,GC,"Potter, triple occupancy","Triple,Potter",f,,,,,,,,,2016
256,474,GC,"Potter, 2 room double occupancy","2 Room Double,Potter",f,1894,1879,1879,1879,1849,1849,1806,1806,2016
257,93,GC,"Robinson, any room","Any,Robinson",f,2850,2824,2824,2824,2738,2738,2730,2666,2016
258,481,GC,"Robinson, 1 room single occupancy","1 Room Single,Robinson",f,,,,,,,,,2016
259,482,GC,"Robinson, 1 room double occupancy","1 Room Double,Robinson",f,2850,2824,2824,2824,2738,2738,2730,2666,2016
260,484,GC,"Robinson, 2 room double occupancy","2 Room Double, Robinson",f,2232,2224,2224,2217,2204,2204,2115,2114,2016
