,res_code,area,res_name_raw,res_name_edited,sex,individual,group_2,group_3,group_4,year
0,7,DRW,Any CCTH,"Any,CCTH",m,2854,2838,2833,2818,2018
1,1,DRW,Any Dorm,"Any,Dorm",m,2854,2838,2833,2818,2018
2,2,DRW,Any East,"Any,East Campus",m,2854,2774,2745,2745,2018
3,6,DRW,Any Res,"Any,Residence",m,2854,,,,2018
4,3,DRW,Any West,"Any,West Campus",m,2854,2838,2833,2818,2018
5,31,BRN,Any Branner,"Any,Branner",m,1508,1363,1346,1346,2018
6,282,BRN,Bran1rmDbl,"1 Room Double,Branner",m,1508,1363,1346,1172,2018
7,281,BRN,Bran1rmSgl,"1 Room Single,Branner",m,286,200,199,199,2018
8,284,BRN,Bran2rmDbl,"2 Room Double,Branner",m,1035,811,800,800,2018
9,283,BRN,BrannerTrp,"Triple,Branner",m,1508,1363,1346,,2018
10,309,CRO,Any Cro,"Any,Crothers",m,2854,2774,2745,2745,2018
11,329,CRO,Cro1rmDbl,"1 Room Double,Crothers",m,2854,2774,2745,2745,2018
12,319,CRO,Cro1rmSgl,"1 Room Single,Crothers",m,1006,968,940,940,2018
13,61,FLO,Alondra,"Any,Alondra",m,,,,,2018
14,62,FLO,Any Cardenal,"Any,Cardenal",m,2597,2597,2597,2597,2018
15,397,FLO,Any E FloMo,"Any,East FloMo",m,2597,2597,2597,2597,2018
16,63,FLO,Any Faisan,"Any,Faisan",m,2597,2597,2597,2474,2018
17,60,FLO,Any FloMo,"Any,FloMo",m,2597,2597,2597,2597,2018
18,64,FLO,Any Gavilan,"Any,Gavilan",m,2285,1804,1804,1706,2018
19,65,FLO,Any Loro,"Any,Loro",m,2505,2299,2299,2194,2018
20,66,FLO,Any Mirlo,"Any,Mirlo",m,2512,2512,2476,2418,2018
21,67,FLO,Any Paloma,"Any,Paloma",m,2597,2568,2512,2458,2018
22,415,FLO,Any W FloMo,"Any,West FloMo",m,2597,2568,2512,2512,2018
23,399,FLO,Card1rmDbl,"1 Room Double,Cardenal",m,2597,2597,2597,2597,2018
24,398,FLO,Card1rmSgl,"1 Room Single,Cardenal",m,548,,,,2018
25,402,FLO,Fais1rmDbl,"1 Room Double,Faisan",m,2597,2597,2597,2474,2018
26,401,FLO,Fais1rmSgl,"1 Room Single,Faisan",m,856,325,,,2018
27,404,FLO,Gav1rmDbl,"1 Room Double,Gavilan",m,2285,1804,1804,1706,2018
28,403,FLO,Gav1rmSgl,"1 Room Single,Gavilan",m,901,,,,2018
29,406,FLO,Loro1rmDbl,"1 Room Double,Loro",m,2505,2299,2299,2194,2018
30,405,FLO,Loro1rmSgl,"1 Room Single,Loro",m,,,,,2018
31,408,FLO,Mrlo1rmDbl,"1 Room Double,Mirlo",m,2512,2512,2476,2418,2018
32,407,FLO,Mrlo1rmSgl,"1 Room Single,Mirlo",m,,,,,2018
33,410,FLO,Palo1rmDbl,"1 Room Double,Paloma",m,2597,2568,2512,2458,2018
34,409,FLO,Palo1rmSgl,"1 Room Single,Paloma",m,,,,,2018
35,203,GCQ,Any Castano,"Any,Castano",m,1688,1688,1688,1688,2018
36,201,GCQ,Any Kimball,"Any,Kimball",m,1722,1673,1661,1661,2018
37,202,GCQ,Any Lantana,"Any,Lantana",m,1755,1755,1706,1705,2018
38,200,GCQ,AnyGerhard,"Any,Gerhard Casper Quad",m,1755,1755,1722,1706,2018
39,252,GCQ,Cast1rmDbl,"1 Room Double,Castano",m,1688,1688,1688,1688,2018
40,251,GCQ,Cast1rmSgl,"1 Room Single,Castano",m,496,443,386,,2018
41,254,GCQ,Cast2rmDbl,"2 Room Double,Castano",m,1597,1566,1553,1553,2018
42,253,GCQ,CastanoTrp,"Triple,Castano",m,1589,1589,1589,1521,2018
43,255,GCQ,Humanities,"Any,Humanities House",m,1475,1375,1355,1355,2018
44,262,GCQ,Kim1rmDbl,"1 Room Double,Kimball",m,1722,1673,1661,1661,2018
45,261,GCQ,Kim1rmSgl,"1 Room Single,Kimball",m,674,651,628,571,2018
46,264,GCQ,Kim2rmDbl,"2 Room Double,Kimball",m,1560,1502,1469,1427,2018
47,263,GCQ,KimballTrp,"Triple,Kimball",m,,,,,2018
48,265,GCQ,KimQuad,"Quad,Kimball",m,1628,1628,1628,1628,2018
49,212,GCQ,Lant1rmDbl,"1 Room Double,Lantana",m,1755,1755,1706,1705,2018
50,211,GCQ,Lant1rmSgl,"1 Room Single,Lantana",m,294,294,294,294,2018
51,214,GCQ,Lant2rmDbl,"2 Room Double,Lantana",m,1603,1603,1593,1593,2018
52,213,GCQ,LantanaTrp,"Triple,LantanaTrpana",m,,,,,2018
53,81,GOV,Any EAST,"Any,EAST",m,2777,2777,2696,2696,2018
54,450,GOV,Any Gov Co,"Any,Gov Co",m,2854,2838,2833,2818,2018
55,82,GOV,Any Murray,"Any,Murray",m,2854,2838,2707,2707,2018
56,92,GOV,Any Potter,"Any,Potter",m,2854,2838,2833,2818,2018
57,93,GOV,Any Robinson,"Any,Robinson",m,2854,2838,2309,2309,2018
58,90,GOV,Any SterQuad,"Any,SterQuad",m,2854,2838,2833,2818,2018
59,87,GOV,Any Suites,"Any,Suites",m,500,500,307,307,2018
60,83,GOV,Any Yost,"Any,Yost",m,2854,2699,2699,2565,2018
61,442,GOV,EAST1rmDbl,"1 Room Double,EAST",m,2777,2777,2696,2696,2018
62,441,GOV,EAST1rmSgl,"1 Room Single,EAST",m,717,,,,2018
63,444,GOV,EAST2rmDbl,"2 Room Double,EAST",m,1174,1116,754,754,2018
64,443,GOV,EASTTrp,"Triple,EAST",m,,,,,2018
65,95,GOV,FroSoCo,"Any,FroSoCo",m,2313,1544,,,2018
66,452,GOV,Murr1rmDbl,"1 Room Double,Murray",m,2854,2838,2707,2707,2018
67,451,GOV,Murr1rmSgl,"1 Room Single,Murray",m,926,,,,2018
68,454,GOV,Murr2rmDbl,"2 Room Double,Murray",m,1697,1619,1619,1580,2018
69,85,GOV,Outdoor,",Outdoor House",m,590,509,488,488,2018
70,472,GOV,Pott1rmDbl,"1 Room Double,Potter",m,2854,2838,2833,2818,2018
71,471,GOV,Pott1rmSgl,"1 Room Single,Potter",m,731,115,,,2018
72,474,GOV,Pott2rmDbl,"2 Room Double,Potter",m,1846,1838,1790,1764,2018
73,473,GOV,PotterTrp,"Triple,Potter",m,,,,,2018
74,482,GOV,Robn1rmDbl,"1 Room Double,Robinson",m,2854,2838,2309,2309,2018
75,481,GOV,Robn1rmSgl,"1 Room Single,Robinson",m,776,525,,,2018
76,484,GOV,Robn2rmDbl,"2 Room Double,Robinson",m,2060,2056,1980,1964,2018
77,84,GOV,Suites 4,"4-room,Suites",m,758,758,758,,2018
78,86,GOV,Suites 6,"6-room,Suites 6",m,500,500,307,307,2018
79,462,GOV,Yost1rmDbl,"1 Room Double,Yost",m,2854,2699,2699,2565,2018
80,461,GOV,Yost1rmSgl,"1 Room Single,Yost",m,865,,,,2018
81,464,GOV,Yost2rmDbl,"2 Room Double,Yost",m,1069,1062,798,798,2018
82,434,LAG,Adel1rmDbl,"1 Room Double,Adelfa",m,1728,,,,2018
83,433,LAG,Adel1rmSgl,"1 Room Single,Adelfa",m,538,537,528,527,2018
84,51,LAG,Any Adelfa,"Any,Adelfa",m,1728,538,537,528,2018
85,52,LAG,Any Eucalipto,"Any,Eucalipto",m,1409,675,642,576,2018
86,53,LAG,Any Granada,"Any,Granada",m,1694,1694,1694,1096,2018
87,50,LAG,Any Lag,"Any,Lagunita",m,1728,1694,1694,1694,2018
88,490,LAG,Any Meier,"Any,Meier",m,1530,369,369,369,2018
89,55,LAG,Any Naranja,"Any,Naranja",m,1464,1464,1307,1307,2018
90,495,LAG,Any Norcliffe,"Any,Norcliffe",m,445,384,384,213,2018
91,54,LAG,Euc 1rmDbl,"1 Room Double,Eucalipto",m,1409,,,,2018
92,439,LAG,Euc Trpl,"Triple,Eucalipto",m,,,,,2018
93,438,LAG,Euc1rmSgl,"1 Room Single,Eucalipto",m,675,642,576,449,2018
94,430,LAG,Gran Trpl,"Triple,Granada",m,1694,1694,1694,,2018
95,437,LAG,Gran1rmDbl,"1 Room Double,Granada",m,1096,1096,,,2018
96,436,LAG,Gran1rmSgl,"1 Room Single,Granada",m,637,637,,,2018
97,492,LAG,Meier1rmDbl,"1 Room Double,Meier",m,1530,369,,,2018
98,492,LAG,Meier1rmDbl (focus),"1 Room Double,Meier",m,3000,3000,,,2018
99,491,LAG,Meier1rmSgl,"1 Room Single,Meier",m,164,139,112,101,2018
100,493,LAG,Meier2rmDbl,"2 Room Double,Meier",m,369,369,369,,2018
101,493,LAG,Meier2rmDbl (focus),"2 Room Double,Meier",m,1046,1046,1046,,2018
102,496,LAG,Norcliffe1rmSgl,"1 Room Single,Norcliffe",m,177,166,166,155,2018
103,498,LAG,Norcliffe2rmDbl,"2 Room Double,Norcliffe",m,445,384,384,213,2018
104,498,LAG,Norcliffe2rmDbl (focus),"2 Room Double,Norcliffe",m,1311,1156,1156,1120,2018
105,432,LAG,Nrja1rmDbl,"1 Room Double,Naranja",m,1464,1464,1307,1307,2018
106,431,LAG,Nrja1rmSgl,"1 Room Single,Naranja",m,667,667,664,626,2018
107,57,LAG,Ujamaa,"Any,Ujamaa",m,840,698,698,615,2018
108,57,LAG,"Ujamaa (ethnic,B)","Any,Ujamaa",m,1134,573,277,64,2018
109,19,MIR,Any Mirr,"Any,Mirrielees",m,,,,,2018
110,102,MIR,Mirr2brDbl,"Double,Mirrielees",m,,,,,2018
111,103,MIR,Mirr3brTrp,"Triple,Mirrielees",m,,,,,2018
112,350,MIR,MirSubFree,"Substance Free Housing,Mirrielees",m,,,,,2018
113,32,ROB,Any Roble,"Any,Roble",m,2658,2156,2147,1888,2018
114,412,ROB,Robl1rmDbl,"1 Room Double,Roble",m,1798,1728,1641,1591,2018
115,411,ROB,Robl1rmSgl,"1 Room Single,Roble",m,969,963,948,944,2018
116,414,ROB,Robl2rmDbl,"2 Room Double,Roble",m,878,878,,,2018
117,413,ROB,RobleTrp,"Triple,Roble",m,2658,2156,2147,1888,2018
118,981,ROW,576Alvarado,"Any,576 Alvarado",m,2211,1905,1850,1829,2018
119,908,ROW,680Lom Prm,"Premium,680 Lomita",m,546,474,474,474,2018
120,909,ROW,680Lom Std,"Standard,680 Lomita",m,906,741,701,656,2018
121,922,ROW,Any 680Lomita,"Any,680 Lomita",m,906,741,701,656,2018
122,986,ROW,Any BOB,"Any,BOB",m,554,554,542,439,2018
123,970,ROW,Any Durand,"Any,Durand",m,1505,1505,1505,1505,2018
124,966,ROW,Any French,"Any,French House",m,708,562,553,346,2018
125,987,ROW,Any Grove,"Any,Grove",m,1891,950,950,950,2018
126,964,ROW,Any HausMit,"Any,Haus Mitteleuropa",m,828,790,790,725,2018
127,965,ROW,Any Italian,"Any,La Casa Italiana",m,561,337,337,257,2018
128,990,ROW,Any Mars,"Any,Mars",m,691,691,691,691,2018
129,960,ROW,Any Narnia,"Any,Narnia",m,794,735,735,735,2018
130,968,ROW,Any PhiSig,"Any,Phi Sigma",m,872,872,646,646,2018
131,967,ROW,Any Pluto,"Any,Pluto",m,1891,1849,1752,1752,2018
132,901,ROW,Any Roth,"Any,Roth",m,,,,,2018
133,920,ROW,Any SelfOp,"Any,Self Op",m,1891,1860,1849,1752,2018
134,923,ROW,Any SelfOpLake,"Any,Self Op Lake",m,794,735,735,735,2018
135,979,ROW,Any SlavDom,"Any,Slavianskii Dom",m,1153,994,994,961,2018
136,930,ROW,Any Xanadu,"Any,Xanadu",m,913,780,769,769,2018
