,res_code,area,res_name_raw,res_name_edited,sex,individual,group_2,group_3,group_4,year
137,912,ROW,BOB Prm,"Premium,BOB",m,228,228,214,214,2018
138,913,ROW,BOB Std,"Standard,BOB",m,554,554,542,439,2018
139,983,ROW,Columbae,"Any,Columbae",m,2340,2051,2051,1745,2018
140,916,ROW,Durand Prm,"Premium,Durand",m,336,,,,2018
141,917,ROW,Durand Std,"Standard,Durand",m,1505,1505,1505,1505,2018
142,985,ROW,EBF,"Any,EBF",m,858,797,797,584,2018
143,924,ROW,French Prm,"Premium,French House",m,,,,,2018
144,925,ROW,French Std,"Standard,French House",m,708,562,553,346,2018
145,926,ROW,Grov Prm,"Premium,Grove",m,,,,,2018
146,927,ROW,Grov Std,"Standard,Grove",m,1891,950,950,950,2018
147,996,ROW,Hammarsk,"Any,Hammarskjold",m,744,744,302,79,2018
148,996,ROW,"Hammarsk (ethnic,I)","Any,Hammarskjold",m,3000,2961,2951,957,2018
149,937,ROW,HausMitPrm,"Premium,Haus Mitteleuropa",m,28,,,,2018
150,938,ROW,HausMitStd,"Standard,Haus Mitteleuropa",m,828,790,790,725,2018
151,939,ROW,ItalianPrm,"Premium,La Casa Italiana",m,187,87,87,82,2018
152,940,ROW,ItalianStd,"Standard,La Casa Italiana",m,561,337,337,257,2018
153,941,ROW,Jerry Prm,"Premium,Jerry",m,610,605,605,591,2018
154,976,ROW,Kairos,"Any,Kairos",m,1981,1727,991,911,2018
155,907,ROW,LwRwSelfOp,"Any,Lower Row Self Op",m,1356,980,913,906,2018
156,946,ROW,Mars Prm,"Premium,Mars",m,54,36,,,2018
157,947,ROW,Mars Std,"Standard,Mars",m,691,691,691,691,2018
158,978,ROW,Muwekma,"Any,Muwekma",m,954,405,,,2018
159,978,ROW,"Muwekma (ethnic,N)","Any,Muwekma",m,1729,1458,1180,,2018
160,948,ROW,Narnia Prm,"Premium,Narnia",m,794,735,672,672,2018
161,949,ROW,Narnia Std,"Standard,Narnia",m,794,735,735,,2018
162,951,ROW,Phi Sg Prm,"Premium,Phi Sigma",m,,,,,2018
163,952,ROW,Phi Sg Std,"Standard,Phi Sigma",m,872,872,646,646,2018
164,943,ROW,Pluto Prm,"Premium,Pluto",m,,,,,2018
165,944,ROW,Pluto Std,"Standard,Pluto",m,1891,1849,1752,1752,2018
166,953,ROW,Roth Prm,"Premium,Roth",m,,,,,2018
167,954,ROW,Roth Std,"Standard,Roth",m,,,,,2018
168,956,ROW,SlavDomPrm,"Premium,Slavianskii Dom",m,462,275,86,,2018
169,957,ROW,SlavDomStd,"Standard,Slavianskii Dom",m,1153,994,994,961,2018
170,993,ROW,Storey,"Any,Storey",m,1356,980,870,870,2018
171,997,ROW,Synergy,"Any,Synergy",m,2629,2629,2623,2478,2018
172,977,ROW,Terra,"Any,Terra",m,2940,2914,2852,2852,2018
173,921,ROW,UpRwSelfOp,"Any,Upper Row Self Op",m,1891,1860,1849,1752,2018
174,998,ROW,Xanadu Prm,"Premium,Xanadu",m,125,125,105,105,2018
175,999,ROW,Xanadu Std,"Standard,Xanadu",m,913,780,769,769,2018
176,994,ROW,ZAP,"Any,ZAP",m,1891,1860,1849,1752,2018
177,426,STN,Zapata,"Any,Zapata",m,2854,2838,2833,2818,2018
178,426,STN,"Zapata (ethnic,C)","Any,Zapata",m,3000,3000,3000,2353,2018
179,33,TOY,Any Toyon,"Any,Toyon",m,1542,1449,1379,1379,2018
180,292,TOY,Toy1rmDbl,"1 Room Double,Toyon",m,1379,1379,1379,1357,2018
181,291,TOY,Toy1rmSgl,"1 Room Single,Toyon",m,,,,,2018
182,294,TOY,Toy2rmDbl,"2 Room Double,Toyon",m,1272,1272,1270,1268,2018
183,295,TOY,ToyonQuad,"Quad,Toyon",m,,,,,2018
184,293,TOY,ToyonTrp,"Triple,Toyon",m,1542,1449,1379,1269,2018
185,741,WIL,Any Trancos,"Any,Trancos",m,2854,2838,2833,2818,2018
186,736,WIL,Okada,"Any,Okada",m,2854,2838,2833,2713,2018
187,736,WIL,"Okada (ethnic,A)","Any,Okada",m,3000,3000,3000,2838,2018
188,744,WIL,Trancos1rmDbl,"1 Room Double,Trancos",m,2854,2838,2833,2818,2018
189,743,WIL,Trancos1rmSgl,"1 Room Single,Trancos",m,,,,,2018
190,7,DRW,Any CCTH,"Any,CCTH",f,2018,2018,2010,2010,2018
191,1,DRW,Any Dorm,"Any,Dorm",f,2820,2820,2815,2812,2018
192,2,DRW,Any East,"Any,East Campus",f,2820,2820,2812,2812,2018
193,6,DRW,Any Res,"Any,Residence",f,2820,,,,2018
194,3,DRW,Any West,"Any,West Campus",f,2815,2795,2786,2759,2018
195,31,BRN,Any Branner,"Any,Branner",f,1585,1209,1209,1209,2018
196,282,BRN,Bran1rmDbl,"1 Room Double,Branner",f,1209,1209,604,604,2018
197,281,BRN,Bran1rmSgl,"1 Room Single,Branner",f,63,57,48,27,2018
198,284,BRN,Bran2rmDbl,"2 Room Double,Branner",f,658,595,595,566,2018
199,283,BRN,BrannerTrp,"Triple,Branner",f,1585,1209,1209,,2018
200,309,CRO,Any Cro,"Any,Crothers",f,2820,2820,2812,2812,2018
201,329,CRO,Cro1rmDbl,"1 Room Double,Crothers",f,2820,2820,2812,2812,2018
202,319,CRO,Cro1rmSgl,"1 Room Single,Crothers",f,928,877,857,850,2018
203,61,FLO,Alondra,"Any,Alondra",f,,,,,2018
204,62,FLO,Any Cardenal,"Any,Cardenal",f,2609,2609,2585,2585,2018
205,397,FLO,Any E FloMo,"Any,East FloMo",f,2815,2795,2609,2609,2018
206,63,FLO,Any Faisan,"Any,Faisan",f,2815,2795,2609,2609,2018
207,60,FLO,Any FloMo,"Any,FloMo",f,2815,2795,2609,2609,2018
208,64,FLO,Any Gavilan,"Any,Gavilan",f,2428,2428,2363,2347,2018
209,65,FLO,Any Loro,"Any,Loro",f,2512,2259,2259,2259,2018
210,66,FLO,Any Mirlo,"Any,Mirlo",f,2512,1943,1943,1857,2018
211,67,FLO,Any Paloma,"Any,Paloma",f,2512,2329,2329,2291,2018
212,415,FLO,Any W FloMo,"Any,West FloMo",f,2512,2443,2443,2329,2018
213,399,FLO,Card1rmDbl,"1 Room Double,Cardenal",f,2609,2609,2585,2585,2018
214,398,FLO,Card1rmSgl,"1 Room Single,Cardenal",f,639,,,,2018
215,402,FLO,Fais1rmDbl,"1 Room Double,Faisan",f,2815,2795,2609,2609,2018
216,401,FLO,Fais1rmSgl,"1 Room Single,Faisan",f,763,,,,2018
217,404,FLO,Gav1rmDbl,"1 Room Double,Gavilan",f,2428,2428,2363,2347,2018
218,403,FLO,Gav1rmSgl,"1 Room Single,Gavilan",f,,,,,2018
219,406,FLO,Loro1rmDbl,"1 Room Double,Loro",f,2512,2259,2259,2259,2018
220,405,FLO,Loro1rmSgl,"1 Room Single,Loro",f,,,,,2018
221,408,FLO,Mrlo1rmDbl,"1 Room Double,Mirlo",f,2512,1943,1943,1857,2018
222,407,FLO,Mrlo1rmSgl,"1 Room Single,Mirlo",f,620,,,,2018
223,410,FLO,Palo1rmDbl,"1 Room Double,Paloma",f,2512,2329,2329,2291,2018
224,409,FLO,Palo1rmSgl,"1 Room Single,Paloma",f,665,657,,,2018
225,203,GCQ,Any Castano,"Any,Castano",f,1854,1786,1786,1701,2018
226,201,GCQ,Any Kimball,"Any,Kimball",f,1612,1601,1601,1587,2018
227,202,GCQ,Any Lantana,"Any,Lantana",f,1604,1604,1604,1592,2018
228,200,GCQ,AnyGerhard,"Any,Gerhard Casper Quad",f,1854,1786,1786,1701,2018
229,252,GCQ,Cast1rmDbl,"1 Room Double,Castano",f,1701,1671,1671,1652,2018
230,251,GCQ,Cast1rmSgl,"1 Room Single,Castano",f,755,577,507,261,2018
231,254,GCQ,Cast2rmDbl,"2 Room Double,Castano",f,1470,1470,1452,1452,2018
232,253,GCQ,CastanoTrp,"Triple,Castano",f,1854,1786,1786,,2018
233,255,GCQ,Humanities,"Any,Humanities House",f,792,582,,,2018
234,262,GCQ,Kim1rmDbl,"1 Room Double,Kimball",f,1612,1601,1601,1587,2018
235,261,GCQ,Kim1rmSgl,"1 Room Single,Kimball",f,225,147,,,2018
236,264,GCQ,Kim2rmDbl,"2 Room Double,Kimball",f,1388,1323,1323,1322,2018
237,263,GCQ,KimballTrp,"Triple,Kimball",f,1476,1476,1476,,2018
238,265,GCQ,KimQuad,"Quad,Kimball",f,1422,1422,1422,1422,2018
239,212,GCQ,Lant1rmDbl,"1 Room Double,Lantana",f,1604,1604,1604,1552,2018
240,211,GCQ,Lant1rmSgl,"1 Room Single,Lantana",f,229,,,,2018
241,214,GCQ,Lant2rmDbl,"2 Room Double,Lantana",f,1442,1428,1428,1428,2018
242,213,GCQ,LantanaTrp,"Triple,LantanaTrpana",f,1592,1592,1592,,2018
243,81,GOV,Any EAST,"Any,EAST",f,2560,2560,2560,1957,2018
244,450,GOV,Any Gov Co,"Any,Gov Co",f,2795,2786,2759,2759,2018
245,82,GOV,Any Murray,"Any,Murray",f,2394,2074,2074,2074,2018
246,92,GOV,Any Potter,"Any,Potter",f,2795,2786,2759,2350,2018
247,93,GOV,Any Robinson,"Any,Robinson",f,2786,2759,2759,2737,2018
248,90,GOV,Any SterQuad,"Any,SterQuad",f,2795,2786,2759,2759,2018
249,87,GOV,Any Suites,"Any,Suites",f,1453,1387,1342,1342,2018
250,83,GOV,Any Yost,"Any,Yost",f,2610,1812,1812,1751,2018
251,442,GOV,EAST1rmDbl,"1 Room Double,EAST",f,1957,1803,1803,1803,2018
252,441,GOV,EAST1rmSgl,"1 Room Single,EAST",f,,,,,2018
253,444,GOV,EAST2rmDbl,"2 Room Double,EAST",f,1219,1078,754,754,2018
254,443,GOV,EASTTrp,"Triple,EAST",f,2560,2560,2560,,2018
255,95,GOV,FroSoCo,"Any,FroSoCo",f,2820,2371,1987,1483,2018
256,452,GOV,Murr1rmDbl,"1 Room Double,Murray",f,2394,2074,2074,2074,2018
257,451,GOV,Murr1rmSgl,"1 Room Single,Murray",f,118,,,,2018
258,454,GOV,Murr2rmDbl,"2 Room Double,Murray",f,1615,1594,1537,1537,2018
259,85,GOV,Outdoor,",Outdoor House",f,903,760,463,463,2018
260,472,GOV,Pott1rmDbl,"1 Room Double,Potter",f,2350,2350,2350,2350,2018
261,471,GOV,Pott1rmSgl,"1 Room Single,Potter",f,122,,,,2018
262,474,GOV,Pott2rmDbl,"2 Room Double,Potter",f,2142,2095,1968,1941,2018
263,473,GOV,PotterTrp,"Triple,Potter",f,2795,2786,2759,,2018
264,482,GOV,Robn1rmDbl,"1 Room Double,Robinson",f,2786,2759,2759,2737,2018
265,481,GOV,Robn1rmSgl,"1 Room Single,Robinson",f,1056,1021,,,2018
266,484,GOV,Robn2rmDbl,"2 Room Double,Robinson",f,2583,2576,2573,2527,2018
267,84,GOV,Suites 4,"4-room,Suites",f,168,758,,,2018
268,86,GOV,Suites 6,"6-room,Suites 6",f,1453,1387,1342,1342,2018
269,462,GOV,Yost1rmDbl,"1 Room Double,Yost",f,2610,1812,1812,1751,2018
270,461,GOV,Yost1rmSgl,"1 Room Single,Yost",f,,,,,2018
271,464,GOV,Yost2rmDbl,"2 Room Double,Yost",f,1637,1062,989,,2018
272,434,LAG,Adel1rmDbl,"1 Room Double,Adelfa",f,1529,1529,1254,1254,2018
273,433,LAG,Adel1rmSgl,"1 Room Single,Adelfa",f,408,367,352,341,2018
274,51,LAG,Any Adelfa,"Any,Adelfa",f,1529,1529,1254,1254,2018
275,52,LAG,Any Eucalipto,"Any,Eucalipto",f,1601,1409,1409,1409,2018
276,53,LAG,Any Granada,"Any,Granada",f,1702,1601,1601,1529,2018
277,50,LAG,Any Lag,"Any,Lagunita",f,1702,1601,1601,1529,2018
278,490,LAG,Any Meier,"Any,Meier",f,773,773,726,683,2018
279,55,LAG,Any Naranja,"Any,Naranja",f,1424,1424,630,629,2018
280,495,LAG,Any Norcliffe,"Any,Norcliffe",f,871,838,242,162,2018
281,54,LAG,Euc 1rmDbl,"1 Room Double,Eucalipto",f,1601,,,,2018
282,439,LAG,Euc Trpl,"Triple,Eucalipto",f,1601,1409,1409,,2018
283,438,LAG,Euc1rmSgl,"1 Room Single,Eucalipto",f,705,695,675,673,2018
284,430,LAG,Gran Trpl,"Triple,Granada",f,1702,1601,1601,,2018
285,437,LAG,Gran1rmDbl,"1 Room Double,Granada",f,1601,1096,,,2018
286,436,LAG,Gran1rmSgl,"1 Room Single,Granada",f,839,787,719,696,2018
287,492,LAG,Meier1rmDbl,"1 Room Double,Meier",f,,,,,2018
288,492,LAG,Meier1rmDbl (focus),"1 Room Double,Meier",f,,,,,2018
289,491,LAG,Meier1rmSgl,"1 Room Single,Meier",f,201,195,190,133,2018
290,493,LAG,Meier2rmDbl,"2 Room Double,Meier",f,773,773,726,683,2018
291,493,LAG,Meier2rmDbl (focus),"2 Room Double,Meier",f,1048,1046,,,2018
292,496,LAG,Norcliffe1rmSgl,"1 Room Single,Norcliffe",f,88,13,8,,2018
293,498,LAG,Norcliffe2rmDbl,"2 Room Double,Norcliffe",f,871,838,242,162,2018
294,498,LAG,Norcliffe2rmDbl (focus),"2 Room Double,Norcliffe",f,,,,,2018
295,432,LAG,Nrja1rmDbl,"1 Room Double,Naranja",f,1424,1424,,,2018
296,431,LAG,Nrja1rmSgl,"1 Room Single,Naranja",f,630,629,614,589,2018
297,57,LAG,Ujamaa,"Any,Ujamaa",f,14,,,,2018
298,57,LAG,"Ujamaa (ethnic,B)","Any,Ujamaa",f,,,,,2018
299,19,MIR,Any Mirr,"Any,Mirrielees",f,,,,,2018
300,102,MIR,Mirr2brDbl,"Double,Mirrielees",f,,,,,2018
301,103,MIR,Mirr3brTrp,"Triple,Mirrielees",f,,,,,2018
302,350,MIR,MirSubFree,"Substance Free Housing,Mirrielees",f,,,,,2018
303,32,ROB,Any Roble,"Any,Roble",f,2229,2229,1975,1975,2018
304,412,ROB,Robl1rmDbl,"1 Room Double,Roble",f,1908,1908,1908,1908,2018
305,411,ROB,Robl1rmSgl,"1 Room Single,Roble",f,942,937,934,921,2018
306,414,ROB,Robl2rmDbl,"2 Room Double,Roble",f,1377,1377,,,2018
307,413,ROB,RobleTrp,"Triple,Roble",f,2229,2229,1975,1975,2018
308,981,ROW,576Alvarado,"Any,576 Alvarado",f,2403,2036,1829,1689,2018
309,908,ROW,680Lom Prm,"Premium,680 Lomita",f,262,227,227,216,2018
310,909,ROW,680Lom Std,"Standard,680 Lomita",f,585,536,536,501,2018
311,922,ROW,Any 680Lomita,"Any,680 Lomita",f,585,536,536,501,2018
312,986,ROW,Any BOB,"Any,BOB",f,542,317,309,309,2018
313,970,ROW,Any Durand,"Any,Durand",f,952,952,924,924,2018
314,966,ROW,Any French,"Any,French House",f,578,438,438,370,2018
315,987,ROW,Any Grove,"Any,Grove",f,680,647,647,638,2018
316,964,ROW,Any HausMit,"Any,Haus Mitteleuropa",f,703,622,622,594,2018
317,965,ROW,Any Italian,"Any,La Casa Italiana",f,258,240,240,212,2018
318,990,ROW,Any Mars,"Any,Mars",f,473,473,414,414,2018
319,960,ROW,Any Narnia,"Any,Narnia",f,491,444,444,421,2018
320,968,ROW,Any PhiSig,"Any,Phi Sigma",f,633,633,633,633,2018
321,967,ROW,Any Pluto,"Any,Pluto",f,1350,1191,1191,1191,2018
322,901,ROW,Any Roth,"Any,Roth",f,1510,1415,1415,1362,2018
323,920,ROW,Any SelfOp,"Any,Self Op",f,1510,1415,1415,1362,2018
324,923,ROW,Any SelfOpLake,"Any,Self Op Lake",f,491,444,444,421,2018
325,979,ROW,Any SlavDom,"Any,Slavianskii Dom",f,883,772,772,736,2018
326,930,ROW,Any Xanadu,"Any,Xanadu",f,567,468,468,458,2018
327,912,ROW,BOB Prm,"Premium,BOB",f,65,65,65,65,2018
328,913,ROW,BOB Std,"Standard,BOB",f,542,317,309,309,2018
329,983,ROW,Columbae,"Any,Columbae",f,1149,1149,955,946,2018
330,916,ROW,Durand Prm,"Premium,Durand",f,,,,,2018
331,917,ROW,Durand Std,"Standard,Durand",f,952,952,924,924,2018
332,985,ROW,EBF,"Any,EBF",f,783,697,522,498,2018
333,924,ROW,French Prm,"Premium,French House",f,,,,,2018
